keys,values
0000,i
000100,y
0001010,k
000101100,9
000101101,O
00010111000,0
00010111001,R
0001011101,D
000101111,1
00011,c
001,e
0100,r
0101,s
0110,o
011100,p
01110100,"
"
01110101,N
011101100,U
0111011010,z
01110110110,B
01110110111,E
0111011100,P
0111011101,—
011101111,M
011110,m
011111,w
1000,n
1001,a
10100,l
10101,h
1011,t
110000000,I
110000001,S
11000001,’
110000100,x
110000101,C
11000011000,2
11000011001,:
11000011010,H
11000011011,V
110000111,-
1100010,","
1100011,v
1100100,b
110010100,W
110010101,“
110010110,”
110010111,A
110011,u
11010,d
1101100,g
1101101,.
110111000000,q
110111000001,G
110111000010,6
110111000011,5
1101110001,L
110111001,T
11011101000,4
110111010010,3
110111010011,J
1101110101000,j
1101110101001,F
1101110101010,8
1101110101011,–
110111010110,)
110111010111,(
110111011,Z
1101111,f
111, 
