files,RLC,LZW,SF,HC
1,0.68,1.59,1.76,1.79
2,0.84,1.44,1.73,1.76
3,0.68,1.29,1.76,1.79
4,0.68,1.12,1.77,1.79
5,0.68,1.13,1.76,1.8
6,0.88,1.03,1.63,1.66
7,0.69,1.15,1.49,1.52
8,0.68,1.48,1.71,1.74
9,0.68,0.91,1.7,1.73
10,0.68,1.35,1.65,1.7
11,0.68,1.24,1.67,1.7
12,0.68,1.34,1.75,1.78
13,0.68,1.15,1.75,1.79
14,0.68,1.13,1.76,1.78
15,0.68,1.37,1.75,1.78
16,0.67,1.19,1.74,1.77
17,0.68,1.04,1.73,1.77
18,0.67,1.22,1.76,1.8
19,0.67,1.24,1.76,1.79
20,0.82,1.08,1.76,1.78
21,0.68,1.26,1.79,1.82
22,0.68,0.95,1.72,1.75
23,0.68,1.36,1.75,1.8
24,0.68,1.16,1.73,1.77
25,0.67,1.23,1.78,1.81
26,0.68,0.98,1.74,1.77
27,0.67,1.21,1.72,1.76
28,0.68,1.31,1.77,1.8
29,0.68,1.29,1.74,1.77
30,0.81,1.76,1.68,1.71
